id;codigoIF;contrato;valorParcelaPaga;dataHoraPagamentoGuia;dataHoraInclusaoDataprev;dataHoraRepasseIF;numeroGuia;competencia;nsu
101;393;90052;25041.57;20022026130000;23022026094129;23022026130000;156;202602;123123123
104;393;90059;13910.14;20022026130000;23022026094129;23022026130000;156;202602;123123123
105;393;90060;4583.69;20022026130000;23022026094129;23022026130000;156;202602;123123123
108;393;90077;89010.77;20022026130000;23022026094129;23022026130000;156;202602;123123123
110;393;99;419.48;20022026130000;23022026094129;23022026130000;156;202602;123123123
111;393;90043;2980.01;20022026130000;23022026094129;23022026130000;156;202602;123123123
112;393;90049;11012.64;20022026130000;23022026094129;23022026130000;156;202602;123123123
113;393;90064;38275.25;20022026130000;23022026094129;23022026130000;156;202602;123123123
114;393;90066;10477.89;20022026130000;23022026094129;23022026130000;156;202602;123123123
119;393;90081;19301.07;20022026130000;23022026094129;23022026130000;156;202602;123123123
120;393;90082;10409.68;20022026130000;23022026094129;23022026130000;156;202602;123123123
